hour,day_name,day,trades,win_rate,pnl,avg_pnl,sharpe
1,Saturday,5,169,66.86390532544378,53.62,0.3172781065088757,6.419797059647664
8,Saturday,5,217,64.51612903225806,58.66,0.2703225806451613,5.384509201225426
13,Saturday,5,266,63.1578947368421,64.67999999999999,0.24315789473684207,4.806189471592032
13,Friday,4,281,62.989323843416365,67.38,0.23978647686832738,4.735545307519484
23,Friday,4,199,62.8140703517588,47.019999999999996,0.23628140703517586,4.658372913971433
2,Wednesday,2,212,62.735849056603776,49.76,0.23471698113207545,4.626267482639347
4,Saturday,5,168,61.904761904761905,36.64,0.2180952380952381,4.277291410699314
21,Wednesday,2,169,61.53846153846154,35.62,0.21076923076923076,4.126181164941399
5,Saturday,5,194,61.34020618556701,40.12,0.2068041237113402,4.046234400375069
20,Saturday,5,204,61.274509803921575,41.919999999999995,0.20549019607843136,4.019778228053161
16,Saturday,5,265,61.13207547169811,53.699999999999996,0.20264150943396225,3.9636347664439824
21,Thursday,3,182,60.98901098901099,36.36,0.1997802197802198,3.9016943146905994
17,Saturday,5,220,60.909090909090914,43.599999999999994,0.19818181818181815,3.8709005886570065
23,Tuesday,1,230,60.86956521739131,45.4,0.1973913043478261,3.8551460884133784
2,Saturday,5,171,60.81871345029239,33.58,0.19637426900584795,3.8315055842620787
0,Tuesday,1,257,60.311284046692606,47.85999999999999,0.1862256809338521,3.6289135044363894
18,Saturday,5,229,60.26200873362445,42.419999999999995,0.18524017467248907,3.608083201549474
9,Saturday,5,228,60.08771929824561,41.44,0.18175438596491228,3.53753470058368
13,Monday,0,250,60.0,44.99999999999999,0.17999999999999997,3.5027810379753954
23,Monday,0,235,60.0,42.3,0.18,3.5023320498253807
0,Friday,4,197,59.89847715736041,35.059999999999995,0.1779695431472081,3.4599412269831604
22,Thursday,3,174,59.77011494252874,30.519999999999996,0.17540229885057468,3.4070907671471167
0,Wednesday,2,193,59.58549222797927,33.13999999999999,0.17170984455958546,3.3338394315457816
0,Saturday,5,163,59.50920245398773,27.74,0.1701840490797546,3.3016327474440503
12,Saturday,5,237,59.49367088607595,40.26,0.16987341772151898,3.2985787947979377
1,Wednesday,2,232,59.48275862068966,39.36,0.1696551724137931,3.2940489899643914
23,Saturday,5,232,59.48275862068966,39.36,0.1696551724137931,3.294048989964392
20,Thursday,3,258,59.30232558139535,42.839999999999996,0.16604651162790696,3.2224207280920365
1,Sunday,6,235,59.148936170212764,38.3,0.16297872340425532,3.16043011514936
5,Sunday,6,210,59.04761904761905,33.8,0.16095238095238093,3.119152182183425
7,Saturday,5,221,58.82352941176471,34.58,0.1564705882352941,3.030150900473111
0,Monday,0,165,58.78787878787879,25.699999999999996,0.15575757575757573,3.013624849822667
4,Monday,0,212,58.490566037735846,31.759999999999998,0.14981132075471698,2.8974640009270094
3,Sunday,6,191,58.1151832460733,27.179999999999996,0.14230366492146596,2.748017682497116
