hour,quarter,trades,win_rate,pnl,avg_pnl,sharpe
23,Q4,360,66.38888888888889,110.8,0.30777777777777776,6.215277663420179
20,Q4,382,61.78010471204188,82.36,0.2156020942408377,4.232833166980136
1,Q4,387,61.75710594315246,83.25999999999999,0.21514211886304907,4.223390170081041
21,Q1,368,61.41304347826087,76.63999999999999,0.20826086956521736,4.081150999696687
0,Q1,336,60.71428571428571,65.28,0.19428571428571428,3.7944365744796587
23,Q2,365,60.0,65.69999999999999,0.17999999999999997,3.5049964336643753
0,Q3,355,60.0,63.89999999999999,0.17999999999999997,3.5048608097575915
16,Q1,361,59.83379501385041,63.779999999999994,0.1766759002770083,3.437856337091318
6,Q4,486,59.465020576131685,82.27999999999999,0.16930041152263373,3.290647934976495
13,Q4,513,59.4541910331384,86.74,0.16908382066276803,3.286476756958484
10,Q4,501,59.2814371257485,82.97999999999999,0.16562874251497003,3.217086201391583
22,Q2,369,59.078590785907856,59.61999999999999,0.16157181571815715,3.134746412766284
8,Q4,491,59.063136456211815,79.17999999999999,0.16126272912423623,3.1296242644656
1,Q1,387,58.91472868217055,61.25999999999999,0.15829457364341082,3.0694856911929205
19,Q4,402,58.70646766169154,61.959999999999994,0.15412935323383084,2.986599306486574
5,Q4,445,58.651685393258425,68.1,0.15303370786516854,2.965144501622631
11,Q4,486,58.64197530864198,74.27999999999999,0.15283950617283948,2.9615604902490085
0,Q2,355,58.59154929577465,53.89999999999999,0.15183098591549293,2.9403722904408203
1,Q2,382,58.37696335078534,56.35999999999999,0.1475392670157068,2.855401831193404
21,Q2,382,58.37696335078534,56.35999999999999,0.1475392670157068,2.8554018311934066
3,Q2,384,58.333333333333336,56.31999999999999,0.14666666666666664,2.838107602242163
14,Q4,477,58.280922431865825,69.46,0.14561844863731654,2.8180361904952127
22,Q1,384,57.8125,52.31999999999999,0.13624999999999998,2.631988286734607
2,Q2,382,57.59162303664922,50.35999999999999,0.13183246073298427,2.5448612958657653
18,Q1,338,57.396449704142015,43.239999999999995,0.12792899408284022,2.467610508948345
4,Q1,380,56.84210526315789,44.39999999999999,0.11684210526315787,2.2504968725845953
18,Q2,345,56.52173913043478,38.099999999999994,0.11043478260869563,2.124947236540826
20,Q1,384,56.510416666666664,42.31999999999999,0.11020833333333331,2.1208393265849197
2,Q4,402,56.46766169154229,43.959999999999994,0.10935323383084576,2.104269338774458
3,Q4,385,56.36363636363636,41.29999999999999,0.10727272727272724,2.063560603131996
4,Q3,382,56.282722513089,40.35999999999999,0.10565445026178008,2.0319870460175697
6,Q1,450,56.222222222222214,46.99999999999999,0.10444444444444442,2.0088052486724375
4,Q2,392,56.12244897959183,40.16,0.10244897959183673,1.969608555333204
20,Q2,394,56.09137055837563,40.11999999999999,0.10182741116751266,1.9575205807153082
12,Q3,484,55.99173553719008,48.31999999999999,0.09983471074380164,1.9191980759797793
23,Q1,388,55.927835051546396,38.239999999999995,0.09855670103092783,1.8938519164526952
16,Q4,313,55.91054313099042,30.739999999999995,0.09821086261980828,1.8865436598007923
13,Q2,499,55.71142284569138,47.01999999999999,0.09422845691382763,1.8102765476716658
12,Q4,504,55.55555555555556,45.91999999999999,0.09111111111111109,1.749782285210054
9,Q4,512,55.46875,45.75999999999999,0.08937499999999998,1.716134524677182
11,Q3,480,55.41666666666667,42.39999999999999,0.08833333333333332,1.695827705247165
15,Q4,381,55.38057742782152,33.379999999999995,0.08761154855643044,1.6813819894098343
13,Q1,493,55.375253549695735,43.13999999999999,0.08750507099391479,1.6798209958490606
8,Q2,542,55.35055350553506,47.15999999999999,0.08701107011070108,1.6704016561878252
17,Q1,302,55.29801324503312,25.959999999999994,0.08596026490066223,1.6488296221658176
8,Q1,529,55.19848771266541,44.41999999999999,0.0839697542533081,1.611456242964913
2,Q1,367,55.04087193460491,29.659999999999993,0.08081743869209808,1.5498063535977127
20,Q3,392,54.8469387755102,30.159999999999993,0.07693877551020406,1.474983818344579
12,Q1,489,54.805725971370144,37.21999999999999,0.07611451942740284,1.459434985551425
7,Q4,539,54.73098330241187,40.21999999999999,0.07461966604823746,1.4307025028623843
