date,trades,pnl,cumulative_pnl,capital,drawdown_pct,win_rate
2023-02-01,30,5.3999999999999995,5.3999999999999995,105.4,0.0,60.0
2023-02-02,28,1.4399999999999995,6.839999999999999,106.84,0.0,53.57142857142857
2023-02-03,37,-1.7400000000000007,5.099999999999998,105.1,0.0,48.64864864864865
2023-02-04,19,2.6199999999999997,7.719999999999997,107.72,0.0,57.89473684210527
2023-02-05,7,0.8599999999999999,8.579999999999997,108.58,0.0,57.14285714285714
2023-02-06,35,10.299999999999999,18.879999999999995,118.88,0.0,65.71428571428571
2023-02-07,30,9.399999999999999,28.279999999999994,128.28,0.0,66.66666666666666
2023-02-08,31,-1.6200000000000006,26.659999999999993,126.66,0.0,48.38709677419355
2023-02-09,15,-7.300000000000001,19.359999999999992,119.35999999999999,0.0,26.666666666666668
2023-02-10,34,1.3199999999999994,20.679999999999993,120.67999999999999,0.0,52.94117647058824
2023-02-11,22,5.56,26.23999999999999,126.24,0.0,63.63636363636363
2023-02-12,10,-0.20000000000000018,26.039999999999992,126.03999999999999,0.0,50.0
2023-02-13,16,1.6799999999999997,27.71999999999999,127.72,0.0,56.25
2023-02-14,40,5.199999999999999,32.91999999999999,132.92,0.0,57.49999999999999
2023-02-15,24,-6.48,26.439999999999987,126.43999999999998,0.0,37.5
2023-02-16,29,-5.58,20.859999999999985,120.85999999999999,0.0,41.37931034482759
2023-02-17,33,8.34,29.199999999999985,129.2,0.0,63.63636363636363
2023-02-18,19,8.62,37.819999999999986,137.82,0.0,73.68421052631578
2023-02-19,23,2.5399999999999996,40.359999999999985,140.35999999999999,0.0,56.52173913043478
2023-02-20,27,-1.5400000000000005,38.819999999999986,138.82,0.0,48.148148148148145
2023-02-21,36,1.2799999999999994,40.09999999999999,140.1,0.0,52.77777777777778
2023-02-22,30,-2.6000000000000005,37.499999999999986,137.5,0.0,46.666666666666664
2023-02-23,31,-3.6200000000000006,33.87999999999999,133.88,0.0,45.16129032258064
2023-02-24,22,1.5599999999999996,35.43999999999999,135.44,0.0,54.54545454545454
2023-02-25,25,-3.5000000000000004,31.93999999999999,131.94,0.0,44.0
2023-02-26,19,10.62,42.55999999999999,142.56,0.0,78.94736842105263
2023-02-27,22,1.5599999999999996,44.11999999999999,144.12,0.0,54.54545454545454
2023-02-28,29,8.42,52.53999999999999,152.54,0.0,65.51724137931035
2023-03-01,32,9.36,61.89999999999999,161.89999999999998,0.0,65.625
2023-03-02,37,2.2599999999999993,64.16,164.16,0.0,54.054054054054056
2023-03-03,34,5.319999999999999,69.47999999999999,169.48,0.0,58.82352941176471
2023-03-04,18,-0.3600000000000003,69.11999999999999,169.12,0.0,50.0
2023-03-05,15,4.699999999999999,73.82,173.82,0.0,66.66666666666666
2023-03-06,22,11.559999999999999,85.38,185.38,0.0,77.27272727272727
2023-03-07,21,4.58,89.96,189.95999999999998,0.0,61.904761904761905
2023-03-08,28,3.4399999999999995,93.39999999999999,193.39999999999998,0.0,57.14285714285714
2023-03-09,41,-7.82,85.57999999999998,185.57999999999998,0.0,41.46341463414634
2023-03-10,39,0.2199999999999993,85.79999999999998,185.79999999999998,0.0,51.28205128205128
2023-03-11,32,5.359999999999999,91.15999999999998,191.15999999999997,0.0,59.375
2023-03-12,10,-0.20000000000000018,90.95999999999998,190.95999999999998,0.0,50.0
2023-03-13,42,-6.840000000000001,84.11999999999998,184.11999999999998,0.0,42.857142857142854
2023-03-14,24,7.52,91.63999999999997,191.64,0.0,66.66666666666666
2023-03-15,17,2.6599999999999997,94.29999999999997,194.29999999999995,0.0,58.82352941176471
2023-03-16,25,4.5,98.79999999999997,198.79999999999995,0.0,60.0
2023-03-17,30,-12.600000000000001,86.19999999999996,186.19999999999996,0.0,30.0
2023-03-18,21,8.58,94.77999999999996,194.77999999999997,0.0,71.42857142857143
2023-03-19,24,-0.4800000000000004,94.29999999999995,194.29999999999995,0.0,50.0
2023-03-20,34,7.319999999999999,101.61999999999995,201.61999999999995,0.0,61.76470588235294
2023-03-21,20,1.5999999999999996,103.21999999999994,203.21999999999994,0.0,55.00000000000001
2023-03-22,20,-2.4000000000000004,100.81999999999994,200.81999999999994,0.0,45.0
2023-03-23,36,1.2799999999999994,102.09999999999994,202.09999999999994,0.0,52.77777777777778
2023-03-24,26,-0.5200000000000005,101.57999999999994,201.57999999999993,0.0,50.0
2023-03-25,20,1.5999999999999996,103.17999999999994,203.17999999999995,0.0,55.00000000000001
2023-03-26,27,-1.5400000000000005,101.63999999999993,201.63999999999993,0.0,48.148148148148145
2023-03-27,19,4.619999999999999,106.25999999999993,206.25999999999993,0.0,63.1578947368421
2023-03-28,22,1.5599999999999996,107.81999999999994,207.81999999999994,0.0,54.54545454545454
2023-03-29,41,0.17999999999999927,107.99999999999993,207.99999999999994,0.0,51.21951219512195
2023-03-30,22,3.5599999999999996,111.55999999999993,211.55999999999995,0.0,59.09090909090909
2023-03-31,25,0.49999999999999956,112.05999999999993,212.05999999999995,0.0,52.0
2023-04-01,28,11.44,123.49999999999993,223.49999999999994,0.0,71.42857142857143
2023-04-02,24,7.52,131.01999999999992,231.01999999999992,0.0,66.66666666666666
2023-04-03,19,6.619999999999999,137.63999999999993,237.63999999999993,0.0,68.42105263157895
2023-04-04,27,8.459999999999999,146.09999999999994,246.09999999999994,0.0,66.66666666666666
2023-04-05,17,6.66,152.75999999999993,252.75999999999993,0.0,70.58823529411765
2023-04-06,22,3.5599999999999996,156.31999999999994,256.31999999999994,0.0,59.09090909090909
2023-04-07,14,5.72,162.03999999999994,262.03999999999996,0.0,71.42857142857143
2023-04-08,31,6.379999999999999,168.41999999999993,268.41999999999996,0.0,61.29032258064516
2023-04-09,22,-2.4400000000000004,165.97999999999993,265.9799999999999,0.0,45.45454545454545
2023-04-10,19,0.6199999999999997,166.59999999999994,266.5999999999999,0.0,52.63157894736842
2023-04-11,19,12.62,179.21999999999994,279.2199999999999,0.0,84.21052631578947
2023-04-12,27,10.459999999999999,189.67999999999995,289.67999999999995,0.0,70.37037037037037
2023-04-13,31,10.379999999999999,200.05999999999995,300.05999999999995,0.0,67.74193548387096
2023-04-14,24,1.5199999999999996,201.57999999999996,301.5799999999999,0.0,54.166666666666664
