start_date,end_date,depth_pct,depth_usd,duration_days
2023-02-15,2023-02-17,-9.07312669274752,-12.060000000000002,3
2023-02-08,2023-02-13,-6.953539133146255,-8.920000000000016,6
2023-03-17,2023-03-19,-6.338028169014083,-12.599999999999994,3
2023-02-20,2023-02-25,-5.998860074095176,-8.419999999999987,6
2023-03-09,2023-03-14,-4.798345398138574,-9.280000000000001,6
2023-04-17,2023-04-19,-2.37215632899086,-7.319999999999993,3
2023-04-30,2023-05-03,-2.091741033365531,-7.359999999999957,4
2023-05-06,2023-05-08,-2.0420132224354943,-7.660000000000025,3
2023-02-03,2023-02-03,-1.6286035192811767,-1.740000000000009,1
2024-02-27,2024-03-14,-1.503551868907713,-20.700000000000045,17
2023-06-05,2023-06-06,-1.3074805699481824,-6.4599999999999795,2
2024-09-16,2024-09-21,-1.198641613977079,-21.460000000000036,6
2023-07-24,2023-07-27,-1.1866137947608715,-7.899999999999977,4
2023-03-22,2023-03-26,-1.180986123413053,-2.4000000000000057,5
2025-03-18,2025-03-31,-1.1619026838315496,-25.559999999999945,14
2025-08-10,2025-08-19,-1.1217642216253336,-26.979999999999563,10
2023-07-05,2023-07-07,-1.108235450262138,-6.680000000000064,3
2023-08-08,2023-08-14,-1.0888817909927704,-7.5,7
2023-05-17,2023-05-19,-1.0306784089809329,-4.259999999999991,3
2024-06-30,2024-07-13,-1.0210224673104402,-16.960000000000264,14
