month,trades,win_rate,pnl,cumulative_pnl,profit_factor
2023-02,723,54.63347164591978,52.539999999999985,52.539999999999985,1.1570420851267336
2023-03,824,54.61165048543689,59.51999999999998,112.05999999999997,1.1560239068889588
2023-04,743,60.296096904441455,138.14,250.19999999999996,1.459089398471253
2023-05,792,58.45959595959596,118.15999999999998,368.35999999999996,1.3521068001668755
2023-06,781,58.64276568501921,119.37999999999998,487.73999999999995,1.3623505129606022
2023-07,759,57.04874835309618,91.82,579.56,1.2761337663899917
2023-08,751,55.65912117177098,69.97999999999999,649.54,1.2060295589707353
2023-09,675,61.03703703703703,135.5,785.04,1.5051069857600836
2023-10,756,58.201058201058196,108.87999999999998,893.92,1.337800943162075
2023-11,707,57.708628005657715,94.85999999999999,988.78,1.3110367892976587
2023-12,749,55.00667556742324,60.01999999999999,1048.8,1.1746087158899168
2024-01,741,59.51417004048582,126.17999999999999,1174.98,1.4123529411764706
2024-02,791,56.25790139064475,83.17999999999999,1258.16,1.2356908081151534
2024-03,842,54.86935866983374,65.15999999999998,1323.3200000000002,1.1681114551083591
2024-04,804,56.71641791044776,91.91999999999999,1415.2400000000002,1.2589587559161597
2024-05,862,55.4524361948956,76.75999999999999,1492.0000000000002,1.1959763071895424
2024-06,668,56.137724550898206,68.63999999999999,1560.6400000000003,1.2296727564746035
2024-07,917,52.453653217012,26.659999999999982,1587.3000000000004,1.0599478323439466
2024-08,830,55.18072289156627,69.39999999999999,1656.7000000000005,1.1829011174362218
2024-09,892,54.7085201793722,66.15999999999998,1722.8600000000006,1.1605513492525723
2024-10,837,55.67502986857825,78.25999999999999,1801.1200000000006,1.2068072512023678
2024-11,795,54.9685534591195,63.09999999999999,1864.2200000000005,1.1728009639610033
2024-12,827,53.08343409915357,34.45999999999999,1898.6800000000005,1.0870729735193045
2025-01,914,55.90809628008753,89.71999999999998,1988.4000000000005,1.2182649734831896
2025-02,776,53.608247422680414,40.47999999999999,2028.8800000000006,1.1102396514161221
2025-03,993,54.38066465256798,67.13999999999999,2096.0200000000004,1.1453058044409818
2025-04,862,52.55220417633411,26.759999999999984,2122.78,1.0641449733927801
2025-05,885,55.028248587570616,71.29999999999998,2194.0800000000004,1.1756330672972708
2025-06,904,53.98230088495575,53.91999999999999,2248.0000000000005,1.1270739064856712
2025-07,908,52.092511013215855,19.839999999999982,2267.8400000000006,1.044714897453234
2025-08,987,54.1033434650456,61.259999999999984,2329.1000000000004,1.1325801843916372
2025-09,805,57.391304347826086,102.89999999999999,2432.0000000000005,1.2941176470588234
2025-10,948,54.74683544303798,71.03999999999998,2503.0400000000004,1.1623474564651035
2025-11,854,55.386416861826696,74.91999999999999,2577.9600000000005,1.1927847254387318
2025-12,796,56.53266331658291,88.07999999999998,2666.0400000000004,1.2495749744984699
2026-01,827,59.73397823458283,144.45999999999998,2810.5000000000005,1.425307660601778
2026-02,669,53.96113602391629,39.61999999999999,2850.1200000000003,1.1261140819964348
