volatility,trend,trades,win_rate,pnl,avg_pnl,profit_factor
Low,Weak,2055,57.518248175182485,267.9000000000001,0.13036496350364968,1.3008557374839977
Low,Medium,6639,56.46934779334237,726.2200000000001,0.10938695586684744,1.2463599972861124
Low,Strong,4714,55.04879083580823,381.72,0.08097581671616462,1.176609388446271
Medium,Weak,630,58.730158730158735,97.39999999999999,0.1546031746031746,1.3672699849170447
Medium,Medium,4825,55.73056994818653,456.50000000000006,0.09461139896373058,1.209526694572961
Medium,Strong,9041,55.06028094237363,734.1800000000001,0.08120561884747263,1.1771558734249303
High,Weak,149,61.07382550335571,30.020000000000003,0.20147651006711412,1.507437457741718
High,Medium,2141,54.64736104624007,156.18,0.07294722092480149,1.1576906766826203
