timestamp,signal,win,pnl,capital,regime_vol,regime_trend
2023-02-01 01:00:00,NO,True,0.98,100.98,Low,Strong
2023-02-01 01:15:00,YES,True,0.98,101.96000000000001,Low,Strong
2023-02-01 03:45:00,NO,True,0.98,102.94000000000001,Low,Strong
2023-02-01 04:15:00,NO,False,-1.02,101.92000000000002,Low,Strong
2023-02-01 05:00:00,NO,False,-1.02,100.90000000000002,Low,Strong
2023-02-01 05:15:00,NO,True,0.98,101.88000000000002,Low,Strong
2023-02-01 06:45:00,YES,True,0.98,102.86000000000003,Low,Strong
2023-02-01 07:00:00,YES,True,0.98,103.84000000000003,Low,Strong
2023-02-01 08:00:00,YES,False,-1.02,102.82000000000004,Low,Strong
2023-02-01 08:15:00,YES,True,0.98,103.80000000000004,Medium,Strong
2023-02-01 10:00:00,YES,False,-1.02,102.78000000000004,Medium,Strong
2023-02-01 10:15:00,YES,True,0.98,103.76000000000005,Medium,Strong
2023-02-01 10:45:00,YES,True,0.98,104.74000000000005,Medium,Strong
2023-02-01 12:00:00,NO,True,0.98,105.72000000000006,Low,Strong
2023-02-01 12:15:00,NO,True,0.98,106.70000000000006,Low,Strong
2023-02-01 13:15:00,NO,True,0.98,107.68000000000006,Low,Medium
2023-02-01 15:45:00,YES,True,0.98,108.66000000000007,High,Medium
2023-02-01 16:45:00,YES,False,-1.02,107.64000000000007,High,Medium
2023-02-01 20:00:00,NO,False,-1.02,106.62000000000008,High,Medium
2023-02-01 20:15:00,NO,False,-1.02,105.60000000000008,High,Medium
2023-02-01 20:45:00,NO,False,-1.02,104.58000000000008,High,Medium
2023-02-01 21:00:00,NO,False,-1.02,103.56000000000009,High,Medium
2023-02-01 21:15:00,NO,True,0.98,104.54000000000009,High,Medium
2023-02-01 21:45:00,NO,False,-1.02,103.5200000000001,High,Medium
2023-02-01 22:00:00,NO,True,0.98,104.5000000000001,High,Medium
2023-02-01 22:15:00,NO,True,0.98,105.4800000000001,High,Medium
2023-02-01 22:45:00,NO,False,-1.02,104.46000000000011,High,Medium
2023-02-01 23:00:00,NO,False,-1.02,103.44000000000011,High,Medium
2023-02-01 23:15:00,NO,True,0.98,104.42000000000012,High,Medium
2023-02-01 23:45:00,NO,True,0.98,105.40000000000012,Medium,Medium
2023-02-02 00:00:00,NO,False,-1.02,104.38000000000012,Medium,Medium
2023-02-02 00:15:00,NO,False,-1.02,103.36000000000013,Medium,Medium
2023-02-02 00:45:00,NO,True,0.98,104.34000000000013,High,Medium
2023-02-02 01:00:00,NO,True,0.98,105.32000000000014,High,Medium
2023-02-02 01:45:00,NO,True,0.98,106.30000000000014,Medium,Strong
2023-02-02 02:00:00,NO,True,0.98,107.28000000000014,Medium,Strong
2023-02-02 02:15:00,NO,True,0.98,108.26000000000015,Medium,Strong
2023-02-02 02:45:00,NO,False,-1.02,107.24000000000015,Medium,Strong
2023-02-02 03:00:00,NO,False,-1.02,106.22000000000016,Medium,Strong
2023-02-02 03:15:00,NO,False,-1.02,105.20000000000016,Medium,Medium
2023-02-02 04:15:00,NO,False,-1.02,104.18000000000016,Medium,Medium
2023-02-02 05:00:00,NO,True,0.98,105.16000000000017,Medium,Medium
2023-02-02 06:00:00,YES,False,-1.02,104.14000000000017,Low,Medium
2023-02-02 06:15:00,YES,True,0.98,105.12000000000018,Medium,Medium
2023-02-02 14:15:00,NO,True,0.98,106.10000000000018,Low,Weak
2023-02-02 14:45:00,YES,False,-1.02,105.08000000000018,Medium,Weak
2023-02-02 15:00:00,YES,True,0.98,106.06000000000019,Medium,Medium
2023-02-02 15:15:00,YES,True,0.98,107.04000000000019,Medium,Medium
2023-02-02 17:45:00,NO,False,-1.02,106.0200000000002,Medium,Medium
2023-02-02 18:00:00,NO,False,-1.02,105.0000000000002,Medium,Medium
2023-02-02 18:15:00,NO,False,-1.02,103.9800000000002,Medium,Medium
2023-02-02 18:45:00,NO,True,0.98,104.9600000000002,Medium,Strong
2023-02-02 21:45:00,YES,True,0.98,105.94000000000021,High,Medium
2023-02-02 22:00:00,YES,True,0.98,106.92000000000021,High,Medium
2023-02-02 22:15:00,YES,True,0.98,107.90000000000022,High,Medium
2023-02-02 22:45:00,YES,True,0.98,108.88000000000022,High,Medium
2023-02-02 23:00:00,YES,False,-1.02,107.86000000000023,Medium,Medium
2023-02-02 23:15:00,YES,False,-1.02,106.84000000000023,Medium,Strong
2023-02-03 00:15:00,YES,False,-1.02,105.82000000000023,Medium,Strong
2023-02-03 00:45:00,YES,True,0.98,106.80000000000024,Medium,Strong
2023-02-03 02:00:00,YES,False,-1.02,105.78000000000024,Medium,Strong
2023-02-03 02:15:00,YES,False,-1.02,104.76000000000025,Medium,Strong
2023-02-03 02:45:00,YES,False,-1.02,103.74000000000025,Medium,Strong
2023-02-03 03:00:00,YES,True,0.98,104.72000000000025,Medium,Strong
2023-02-03 07:15:00,YES,False,-1.02,103.70000000000026,Low,Strong
