timestamp,entry_price,exit_price,entry_time,exit_time,rsi,bb_position,signal,predicted,actual,win,outcome,pnl,capital_after,regime_vol,regime_trend,hour,weekday,day_name
2023-02-01 05:00:00,23159.21,23159.3,2023-02-01 05:00:00,2023-02-01 05:15:00,61.29818816702957,upper,BUY_NO,DOWN,UP,False,LOSS,-102.0,9898.0,Medium,Strong,5,2,Wednesday
2023-02-01 05:15:00,23159.3,23135.71,2023-02-01 05:15:00,2023-02-01 05:30:00,61.314691032986616,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,9992.0,Low,Strong,5,2,Wednesday
2023-02-01 06:30:00,23084.67,23065.77,2023-02-01 06:30:00,2023-02-01 06:45:00,42.58257185447899,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,9890.0,Low,Strong,6,2,Wednesday
2023-02-01 06:45:00,23065.77,23077.71,2023-02-01 06:45:00,2023-02-01 07:00:00,38.81689059254055,lower,BUY_YES,UP,UP,True,WIN,94.0,9984.0,Low,Strong,6,2,Wednesday
2023-02-01 07:00:00,23077.71,23111.14,2023-02-01 07:00:00,2023-02-01 07:15:00,42.28903071948228,lower,BUY_YES,UP,UP,True,WIN,94.0,10078.0,Low,Strong,7,2,Wednesday
2023-02-01 08:00:00,23054.61,22967.56,2023-02-01 08:00:00,2023-02-01 08:15:00,39.42291703468935,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,9976.0,Low,Strong,8,2,Wednesday
2023-02-01 08:15:00,22967.56,22992.28,2023-02-01 08:15:00,2023-02-01 08:30:00,28.20449172889961,lower,BUY_YES,UP,UP,True,WIN,94.0,10070.0,Low,Strong,8,2,Wednesday
2023-02-01 08:30:00,22992.28,22982.03,2023-02-01 08:30:00,2023-02-01 08:45:00,33.95233585150318,lower,BUY_YES,UP,DOWN,False,LOSS,-102.0,9968.0,Low,Strong,8,2,Wednesday
2023-02-01 08:45:00,22982.03,22988.69,2023-02-01 08:45:00,2023-02-01 09:00:00,32.780456799609084,lower,BUY_YES,UP,UP,True,WIN,94.0,10062.0,Low,Strong,8,2,Wednesday
2023-02-01 09:00:00,22988.69,23017.68,2023-02-01 09:00:00,2023-02-01 09:15:00,34.36563990619604,lower,BUY_YES,UP,UP,True,WIN,94.0,10156.0,Low,Strong,9,2,Wednesday
2023-02-01 09:30:00,22980.7,22991.86,2023-02-01 09:30:00,2023-02-01 09:45:00,35.979075046184974,lower,BUY_YES,UP,UP,True,WIN,94.0,10250.0,Low,Strong,9,2,Wednesday
2023-02-01 09:45:00,22991.86,23001.28,2023-02-01 09:45:00,2023-02-01 10:00:00,38.387843166573845,lower,BUY_YES,UP,UP,True,WIN,94.0,10344.0,Low,Strong,9,2,Wednesday
2023-02-01 10:15:00,22977.85,22981.59,2023-02-01 10:15:00,2023-02-01 10:30:00,37.1358170436459,lower,BUY_YES,UP,UP,True,WIN,94.0,10438.0,Low,Strong,10,2,Wednesday
2023-02-01 12:00:00,23096.39,23093.66,2023-02-01 12:00:00,2023-02-01 12:15:00,58.87096002390621,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,10532.0,Low,Strong,12,2,Wednesday
2023-02-01 12:15:00,23093.66,23078.56,2023-02-01 12:15:00,2023-02-01 12:30:00,58.26926569446182,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,10626.0,Low,Strong,12,2,Wednesday
2023-02-01 13:15:00,23104.77,23070.33,2023-02-01 13:15:00,2023-02-01 13:30:00,59.0549280523299,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,10720.0,Low,Weak,13,2,Wednesday
2023-02-01 14:30:00,23118.4,23101.0,2023-02-01 14:30:00,2023-02-01 14:45:00,59.57901220657375,upper,BUY_NO,DOWN,DOWN,True,WIN,94.0,10814.0,Low,Weak,14,2,Wednesday
