rank_composite,strategy_name,composite_score,total_pnl,sharpe_ratio,win_rate,max_drawdown_pct,trades_per_day,consistency_score
1,09_Keep_Top_20_Pct,65.0,2142.5600000000004,37.13526556599631,65.53174172544763,13.379999999999653,6.595331065653976,2.224339133705427
2,10_Keep_Top_30_Pct,63.46561508044893,2921.5200000000004,30.91663144242991,63.67580701145435,16.359999999999673,10.309709525007689,1.907337409430596
3,07_Cut_WR_LT_52,58.79543446001592,4196.18,18.1559382921384,58.78772131695186,19.55999999999858,24.101762200747377,0.9777692727774326
4,08_Cut_WR_LT_54,58.77404922489165,3976.62,21.64568299517039,60.282926373780285,21.399999999998727,19.16171057413637,1.2080841145622565
5,05_Cut_Bottom_25_Pct,53.41669656523084,4192.700000000001,15.60875212250859,57.98434116275196,22.019999999995434,26.850800928126137,0.8516778675300425
