strategy_name,pnl_score,sharpe_score,win_rate_score,drawdown_score,capacity_score,consistency_score_norm,composite_score,total_pnl,sharpe_ratio,win_rate,max_drawdown_pct,trades_per_day,consistency_score,rank_composite
09_Keep_Top_20_Pct,0.0,100.0,100.0,100.0,0.0,100.0,65.0,2142.5600000000004,37.13526556599631,65.53174172544763,13.379999999999653,6.595331065653976,2.224339133705427,1
10_Keep_Top_30_Pct,37.931068065172724,77.17855539421346,82.57709660461182,85.65928777670214,12.618259382311683,78.15922462678027,63.46561508044893,2921.5200000000004,30.91663144242991,63.67580701145435,16.359999999999673,10.309709525007689,1.907337409430596,2
07_Cut_WR_LT_52,100.0,30.34874581316616,36.68935917420764,70.25986525504536,59.471777401924086,14.11386678783508,58.79543446001592,4196.18,18.1559382921384,58.78772131695186,19.55999999999858,24.101762200747377,0.9777692727774326,3
08_Cut_WR_LT_54,89.30863548270857,43.155579893783724,50.72585144141995,61.40519730508899,42.689736080955825,29.982091908843906,58.77404922489165,3976.62,21.64568299517039,60.282926373780285,21.399999999998727,19.16171057413637,1.2080841145622565,4
05_Cut_Bottom_25_Pct,99.83054313845795,21.000958676029626,29.147491073534997,58.421559191532815,68.81064367354273,5.42642489835724,53.41669656523084,4192.700000000001,15.60875212250859,57.98434116275196,22.019999999995434,26.850800928126137,0.8516778675300425,5
06_Cut_WR_LT_50,98.86054868963102,20.254940199110298,26.740134141640283,60.250240615965396,71.83749809615011,5.049799824217705,53.27618026745035,4172.780000000001,15.405468936999586,57.72790300216052,21.63999999999851,27.74180201839479,0.846211449975391,6
04_Cut_Bottom_20_Pct,96.96633262239367,18.458009418752933,24.01732557671003,55.149181905665124,75.16521455473955,10.07286672962891,51.50868551988158,4133.880000000001,14.915821797590027,57.437862081853865,22.69999999999845,28.721366470045567,0.919117326390183,7
03_Cut_Bottom_15_Pct,91.04410747850137,13.59340991164027,18.588209019604708,35.12993262750517,81.64134585451497,0.19402857082640637,44.14743323996997,4012.26,13.590263095458406,56.859537926804336,26.85999999999831,30.62771518828101,0.7757337387354957,8
02_Cut_Bottom_10_Pct,83.28512577789468,9.771793267065764,13.602847049663083,29.066410009601867,87.46712891489486,0.0,39.86465171209943,3852.920000000001,12.54890764738504,56.32848370857997,28.119999999998075,32.3426239132258,0.7729175662114208,9
01_Cut_Bottom_5_Pct,69.22604960995703,5.495185167683483,7.273061039348833,39.557266602487715,93.94978119867909,2.3501633344479087,37.1952074574003,3564.2,11.383571205309158,55.65421781143903,25.93999999999733,34.250892183263296,0.8070283437189341,10
00_Baseline,47.857928925507146,0.0,0.0,0.0,100.0,3.47055950169066,22.138010206461317,3125.38,9.886183700295222,54.87947171122863,34.15999999999076,36.03186701577511,0.8232900153316716,11
