day_name,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor,z_score,p_value,ci_95_lower,ci_95_upper,is_significant
Saturday,5250,3100,2150,59.04761904761905,844.9999999999999,0.16095238095238093,3.1263075779726868,0.98,-1.02,1.3853169174646607,6.069189038964773,1.2855774222941818e-09,57.71127263175725,60.37073425630729,YES (p<0.05)
Sunday,5163,2834,2329,54.89056749951578,401.7399999999999,0.07781134999031569,1.4936016412048736,0.98,-1.02,1.169112385185934,0.016022016518523287,0.987216827306701,53.5300945580599,56.24376806625588,NO
Friday,6092,3323,2769,54.54694681549574,432.1599999999999,0.07093893630991463,1.360813807868192,0.98,-1.02,1.1530105722317825,-0.521569352565433,0.601970206494653,53.29408962806833,55.794073030226464,NO
Monday,5218,2840,2378,54.4269835185895,357.63999999999993,0.06853967037178994,1.3144855266071869,0.98,-1.02,1.1474463629017635,-0.6568515657572634,0.5112763638288507,53.07287860762927,55.77457475058827,NO
Tuesday,6068,3281,2787,54.070533948582735,372.6399999999999,0.06141067897165456,1.1770597785286079,0.98,-1.02,1.1310847984690833,-1.2663269411695321,0.20539605534197447,52.814463001593516,55.32145411455788,NO
Wednesday,6183,3333,2850,53.905870936438625,359.3399999999999,0.05811741872877243,1.113645048168397,0.98,-1.02,1.1236119711042318,-1.5384680627726053,0.12393421157636686,52.6613265581517,55.145564764231615,NO
Thursday,6307,3395,2912,53.82907880133185,356.8599999999999,0.056581576026637055,1.084087410002931,0.98,-1.02,1.1201451734539976,-1.6763748943465846,0.0936647833042239,52.59674553635595,55.0567503143401,NO
