quarter,trades,wins,losses,win_rate,total_pnl,avg_pnl,sharpe,best_trade,worst_trade,profit_factor,z_score,p_value,ci_95_lower,ci_95_upper,is_significant
Q4,10151,5798,4353,57.11752536695892,1241.9799999999998,0.12235050733917839,2.361436148281879,0.98,-1.02,1.279721445205696,4.531404787186033,5.8592744291985355e-06,56.15223290678606,58.07743267460518,YES (p<0.05)
Q1,10023,5518,4505,55.05337723236556,812.5399999999998,0.08106754464731117,1.5566869140775836,0.98,-1.02,1.1768274901525546,0.34988086082902603,0.7264281111604467,54.07776309941428,56.02511914817205,NO
Q2,10020,5508,4512,54.97005988023952,795.5999999999998,0.0794011976047904,1.524431896864871,0.98,-1.02,1.1728723404255326,0.18222723834189172,0.8554043977511756,53.99416715064781,55.942143095914744,NO
Q3,10087,5282,4805,52.364429463666106,275.2599999999998,0.02728858927332208,0.5219057950926794,0.98,-1.02,1.056162902205628,-5.076147652520218,3.8516402955934836e-07,51.389041455520214,53.33801718743777,YES (p<0.05)
