cluster,slots,total_trades,avg_win_rate,total_pnl
1_Outstanding (>58%),228,13127,63.240766045449476,3164.4599999999996
2_Good (56-58%),64,3733,57.097188719963675,454.3399999999999
3_Average (52-56%),156,9831,53.90723921035555,572.3799999999999
4_Below_Avg (50-52%),45,2666,51.284504545265754,14.679999999999954
5_Poor (<50%),179,10924,46.014045168241964,-1080.4800000000002
