strategy_name,sharpe_ratio,total_pnl
09_Keep_Top_20_Pct,5.841160239419168,2142.5600000000004
10_Keep_Top_30_Pct,5.035214668147868,2921.5200000000004
08_Cut_WR_LT_54,3.624394106915295,3976.62
07_Cut_WR_LT_52,3.02267981988377,4196.18
05_Cut_Bottom_25_Pct,2.7033587962909396,4192.700000000001
06_Cut_WR_LT_50,2.601952501161883,4172.780000000001
04_Cut_Bottom_20_Pct,2.4875423694524477,4133.880000000001
03_Cut_Bottom_15_Pct,2.2602652080467984,4012.26
02_Cut_Bottom_10_Pct,2.0524893029804185,3852.9200000000005
01_Cut_Bottom_5_Pct,1.7898319792050177,3564.2
00_Baseline,1.4894350916071362,3125.3799999999997
