strategy_name,consistency_score,total_pnl
02_Cut_Bottom_10_Pct,0.7729175662114208,3852.9200000000005
03_Cut_Bottom_15_Pct,0.7757337387354957,4012.26
01_Cut_Bottom_5_Pct,0.8070283437189341,3564.2
00_Baseline,0.8232900153316716,3125.3799999999997
06_Cut_WR_LT_50,0.846211449975391,4172.780000000001
05_Cut_Bottom_25_Pct,0.8516778675300425,4192.700000000001
04_Cut_Bottom_20_Pct,0.919117326390183,4133.880000000001
07_Cut_WR_LT_52,0.9777692727774326,4196.18
08_Cut_WR_LT_54,1.2080841145622563,3976.62
10_Keep_Top_30_Pct,1.9073374094305957,2921.5200000000004
09_Keep_Top_20_Pct,2.224339133705427,2142.5600000000004
