strategy_name,Monday_trades,Monday_wr,Monday_pnl,Tuesday_trades,Tuesday_wr,Tuesday_pnl,Wednesday_trades,Wednesday_wr,Wednesday_pnl,Thursday_trades,Thursday_wr,Thursday_pnl,Friday_trades,Friday_wr,Friday_pnl,Saturday_trades,Saturday_wr,Saturday_pnl,Sunday_trades,Sunday_wr,Sunday_pnl,Q1_trades,Q1_wr,Q1_pnl,Q2_trades,Q2_wr,Q2_pnl,Q3_trades,Q3_wr,Q3_pnl,Q4_trades,Q4_wr,Q4_pnl,hour_00_trades,hour_00_wr,hour_00_pnl,hour_01_trades,hour_01_wr,hour_01_pnl,hour_02_trades,hour_02_wr,hour_02_pnl,hour_03_trades,hour_03_wr,hour_03_pnl,hour_04_trades,hour_04_wr,hour_04_pnl,hour_05_trades,hour_05_wr,hour_05_pnl,hour_06_trades,hour_06_wr,hour_06_pnl,hour_07_trades,hour_07_wr,hour_07_pnl,hour_08_trades,hour_08_wr,hour_08_pnl,hour_09_trades,hour_09_wr,hour_09_pnl,hour_10_trades,hour_10_wr,hour_10_pnl,hour_11_trades,hour_11_wr,hour_11_pnl,hour_12_trades,hour_12_wr,hour_12_pnl,hour_13_trades,hour_13_wr,hour_13_pnl,hour_14_trades,hour_14_wr,hour_14_pnl,hour_15_trades,hour_15_wr,hour_15_pnl,hour_16_trades,hour_16_wr,hour_16_pnl,hour_17_trades,hour_17_wr,hour_17_pnl,hour_18_trades,hour_18_wr,hour_18_pnl,hour_19_trades,hour_19_wr,hour_19_pnl,hour_20_trades,hour_20_wr,hour_20_pnl,hour_21_trades,hour_21_wr,hour_21_pnl,hour_22_trades,hour_22_wr,hour_22_pnl,hour_23_trades,hour_23_wr,hour_23_pnl
00_Baseline,5218,54.4269835185895,357.64,6068,54.070533948582735,372.6400000000001,6183,53.905870936438625,359.34000000000003,6307,53.82907880133185,356.86000000000007,6092,54.54694681549574,432.1600000000001,5250,59.04761904761905,845.0,5163,54.89056749951578,401.74,10023,55.05337723236556,812.5400000000001,10020,54.97005988023952,795.6,10087,52.364429463666106,275.26,10151,57.11752536695892,1241.98,1412,58.42776203966006,209.76000000000002,1559,57.3444515715202,197.82,1537,55.10735198438517,126.26000000000002,1564,55.626598465473144,144.72000000000003,1540,55.97402597402598,153.2,1713,54.582603619381196,122.74000000000004,1887,54.58399576046635,135.26000000000005,2064,51.065891472868216,2.7200000000000486,2055,55.18248175182482,171.90000000000006,1982,53.53178607467205,100.3600000000001,1981,54.164563351842496,125.38000000000008,1952,54.45696721311475,134.96000000000004,1961,54.869964303926565,151.78000000000003,2005,56.209476309226936,208.90000000000003,1933,53.28504914640455,88.34000000000003,1608,51.3681592039801,11.840000000000014,1291,55.84817970565453,125.17999999999998,1270,53.07086614173229,52.60000000000001,1445,54.67128027681662,106.10000000000002,1545,53.139158576051784,66.10000000000001,1552,57.28092783505154,194.96000000000004,1461,56.46817248459959,159.78000000000003,1481,54.22012153950033,95.38000000000002,1483,59.06945380984491,239.34
01_Cut_Bottom_5_Pct,4879,55.5031768805083,439.42,5856,54.54234972677595,414.88000000000005,5675,55.13656387665198,469.5,6036,54.48972829688535,421.28000000000003,5626,55.70565232847494,529.48,5250,59.04761904761905,845.0,4968,55.475040257648956,444.64,9483,55.878941263313294,925.34,9556,55.703223105902055,898.88,9327,53.40409563632464,448.46000000000004,9924,57.50705360741637,1291.52,1412,58.42776203966006,209.76000000000002,1416,59.03954802259888,227.67999999999995,1482,55.66801619433198,138.36,1564,55.626598465473144,144.72000000000003,1540,55.97402597402598,153.2,1587,55.576559546313796,145.26000000000002,1811,55.16289342904472,150.78000000000003,1840,52.44565217391305,53.20000000000002,1988,55.633802816901415,184.24000000000004,1982,53.53178607467205,100.3600000000001,1852,55.12958963282938,152.96000000000004,1822,55.43358946212953,161.56000000000003,1881,55.39606592238171,165.38,2005,56.209476309226936,208.90000000000003,1807,54.288876591034864,118.86000000000006,1427,52.97827610371408,56.46000000000001,1251,56.27498001598721,131.98000000000002,1097,55.69735642661805,103.06,1352,55.769230769230774,128.96,1430,54.12587412587413,89.4,1496,57.887700534759354,206.08000000000004,1395,57.27598566308244,175.10000000000002,1370,55.32846715328466,118.60000000000002,1483,59.06945380984491,239.34
02_Cut_Bottom_10_Pct,4463,56.55388751960565,495.74,5419,55.379221258534784,474.62,5383,55.71242801411852,507.34000000000003,5586,55.298961689939134,480.28,5432,56.09351988217968,553.36,5196,59.21862971516552,854.08,4675,56.213903743315505,487.5,9132,56.30749014454665,969.3600000000001,9023,56.40031031807603,974.5400000000001,8377,54.458636743464254,579.4600000000002,9622,57.90895863645812,1329.56,1412,58.42776203966006,209.76000000000002,1416,59.03954802259888,227.67999999999995,1424,56.17977528089888,147.51999999999998,1564,55.626598465473144,144.72000000000003,1477,56.46580907244414,161.46,1452,56.68044077134986,164.96000000000004,1743,55.65117613310384,162.14000000000004,1506,54.24966799468791,97.88000000000002,1845,56.58536585365853,206.10000000000005,1818,54.34543454345434,121.64000000000007,1852,55.12958963282938,152.96000000000004,1687,56.25370480142264,177.26000000000005,1744,56.25,183.12000000000003,1933,56.59596482152095,216.34000000000003,1807,54.288876591034864,118.86000000000006,1355,53.35793357933579,63.9,1115,57.75784753363229,150.70000000000002,1001,56.743256743256744,114.98000000000003,1352,55.769230769230774,128.96,1219,55.86546349466776,118.62,1392,58.90804597701149,220.16000000000003,1353,57.64966740576497,179.94,1204,56.97674418604651,143.92000000000002,1483,59.06945380984491,239.34
03_Cut_Bottom_15_Pct,4177,57.2180991141968,519.4600000000002,5115,55.87487781036168,498.70000000000005,5111,56.19252592447662,530.78,5173,55.963657452155424,513.54,5253,56.40586331620027,567.94,5096,59.458398744113026,862.0799999999999,4312,57.026901669758814,519.76,8875,56.59718309859155,993.5,8408,57.100380589914366,1025.8400000000001,7551,55.27744669580188,645.9800000000001,9403,58.162288631287886,1346.9400000000003,1412,58.42776203966006,209.76000000000002,1416,59.03954802259888,227.67999999999995,1424,56.17977528089888,147.51999999999998,1511,55.92322964923891,148.78000000000003,1417,56.88073394495413,166.66000000000003,1452,56.68044077134986,164.96000000000004,1545,56.763754045307444,178.10000000000002,1370,55.03649635036496,110.60000000000001,1845,56.58536585365853,206.10000000000005,1761,54.571266325951164,125.78000000000006,1633,56.21555419473362,170.34000000000003,1687,56.25370480142264,177.26000000000005,1744,56.25,183.12000000000003,1794,57.41360089186176,230.12000000000006,1611,55.183116076970826,134.78,1171,54.397950469684034,79.58,1043,58.48513902205177,156.14000000000004,963,57.11318795430945,117.74000000000001,1199,56.88073394495413,141.02,1023,57.57575757575758,134.54000000000002,1337,59.38668661181751,224.26000000000002,1300,58.07692307692308,184.0,1157,57.38980121002592,147.86,1422,59.634317862165965,245.56000000000003
04_Cut_Bottom_20_Pct,4130,57.312348668280876,521.4000000000001,4693,56.573620285531646,523.1400000000001,4735,56.83210137275607,552.3,4903,56.39404446257393,528.94,4803,57.19342077867999,594.94,4826,60.09117281392457,877.48,4016,57.66932270916335,535.6800000000001,8404,57.06806282722513,1019.9200000000002,7720,57.901554404145074,1065.6000000000001,6964,55.887421022400915,680.7200000000001,9018,58.58283433133733,1367.64,1285,59.45525291828794,217.3,1416,59.03954802259888,227.67999999999995,1233,57.420924574209245,158.34,1401,56.53104925053534,154.98000000000002,1417,56.88073394495413,166.66000000000003,1389,57.09143268538517,169.22000000000003,1387,57.75054073540014,187.26,1203,55.94347464671654,118.94000000000001,1758,56.996587030716725,210.84000000000006,1620,55.12345679012346,133.60000000000002,1633,56.21555419473362,170.34000000000003,1557,56.90430314707772,183.85999999999999,1522,57.49014454664915,197.56000000000003,1728,57.754629629629626,233.44000000000005,1376,56.395348837209305,148.48000000000002,1120,54.64285714285714,81.60000000000001,995,58.99497487437186,159.10000000000002,875,58.05714285714285,123.5,1102,57.622504537205074,145.96,1023,57.57575757575758,134.54000000000002,1289,59.81380915438324,227.22000000000003,1300,58.07692307692308,184.0,1099,57.870791628753416,151.02,1378,60.01451378809869,248.44000000000003
05_Cut_Bottom_25_Pct,3804,57.96529968454258,529.9200000000001,4343,57.14943587381994,534.14,4379,57.410367663850195,561.4200000000001,4782,56.56629025512338,532.3600000000001,4402,57.882780554293504,605.96,4512,60.815602836879435,885.7600000000001,3793,58.15976799367255,543.1400000000001,7748,57.70521424883841,1039.0400000000002,7371,58.296024962691625,1075.5800000000002,6470,56.35239567233384,692.6000000000003,8426,59.22145739378115,1385.4800000000002,1174,60.39182282793867,220.52000000000004,1359,59.45548197203826,229.82,950,59.68421052631578,165.0,1240,57.41935483870968,159.2,1278,57.66823161189358,170.43999999999997,1329,57.41158765989466,170.42000000000002,1324,58.157099697885194,189.52,918,57.9520697167756,127.64000000000001,1639,57.53508236729713,214.22000000000003,1549,55.390574564234996,136.02000000000004,1550,56.58064516129032,173.00000000000003,1557,56.90430314707772,183.85999999999999,1446,57.8838174273859,199.08,1578,58.49176172370088,236.44000000000003,1293,56.8445475638051,151.14000000000001,998,55.31062124248497,86.04,995,58.99497487437186,159.10000000000002,875,58.05714285714285,123.5,1045,58.08612440191388,148.10000000000002,1023,57.57575757575758,134.54000000000002,1289,59.81380915438324,227.22000000000003,1193,58.84325230511316,187.14000000000004,1099,57.870791628753416,151.02,1314,60.50228310502283,249.72
06_Cut_WR_LT_50,4010,57.556109725685786,525.8000000000002,4403,57.05200999318646,532.94,4617,57.02837340264241,556.66,4848,56.476897689768975,531.04,4584,57.56980802792321,602.32,4714,60.35214255409419,881.72,3835,58.07040417209909,542.3000000000002,7986,57.475582268970705,1034.2800000000002,7521,58.130567743651106,1072.5800000000004,6852,55.998248686514884,684.9600000000002,8652,58.98058252427184,1380.96,1230,59.91869918699187,219.4,1359,59.45548197203826,229.82,1178,57.80984719864176,160.44,1338,56.875934230194325,157.24,1362,57.19530102790015,168.76,1389,57.09143268538517,169.22000000000003,1324,58.157099697885194,189.52,996,57.329317269076306,126.08000000000001,1689,57.31201894612197,213.22000000000006,1549,55.390574564234996,136.02000000000004,1550,56.58064516129032,173.00000000000003,1557,56.90430314707772,183.85999999999999,1522,57.49014454664915,197.56000000000003,1728,57.754629629629626,233.44000000000005,1293,56.8445475638051,151.14000000000001,998,55.31062124248497,86.04,995,58.99497487437186,159.10000000000002,875,58.05714285714285,123.5,1045,58.08612440191388,148.10000000000002,1023,57.57575757575758,134.54000000000002,1289,59.81380915438324,227.22000000000003,1245,58.47389558232932,186.10000000000002,1099,57.870791628753416,151.02,1378,60.01451378809869,248.44000000000003
07_Cut_WR_LT_52,3407,58.761373642500736,528.8600000000001,3878,57.91645177926766,536.44,3539,58.8866911556937,558.22,4221,57.33238569059465,534.58,4088,58.43933463796478,608.2400000000001,4267,61.37801734239513,885.6600000000001,3541,58.6839875741316,544.1800000000001,6921,58.50310648750181,1038.5800000000002,6912,58.79629629629629,1077.7600000000002,5316,57.52445447705041,693.6800000000001,7792,59.894763860369615,1386.1600000000003,1174,60.39182282793867,220.52000000000004,1202,60.48252911813644,227.96,808,61.26237623762376,165.84000000000003,1112,58.18345323741008,159.76000000000002,986,59.63488843813387,170.28000000000003,1143,58.53018372703412,172.14000000000001,1252,58.54632587859425,188.96,918,57.9520697167756,127.64000000000001,1468,58.31062670299727,214.64000000000001,1392,55.962643678160916,138.16000000000003,1277,57.791699295223175,173.45999999999998,1483,57.24881995954148,185.34,1446,57.8838174273859,199.08,1419,59.26708949964764,234.62,1293,56.8445475638051,151.14000000000001,759,56.78524374176548,87.82000000000002,812,60.83743842364532,159.76,793,58.764186633039095,123.14000000000001,876,59.47488584474886,148.48000000000002,909,58.3058305830583,132.82000000000002,1064,61.65413533834586,226.72000000000003,1099,59.50864422202001,187.02,1000,58.5,150.00000000000003,1256,60.98726114649682,250.88
08_Cut_WR_LT_54,2746,60.196649672250544,505.08,2927,59.514861633071405,498.46000000000004,2717,60.58152373941847,520.6600000000001,2982,59.12139503688799,484.36000000000007,3432,59.4988344988345,583.3600000000001,3989,61.97041865129105,875.2200000000003,2626,60.700685453160695,509.48,5317,60.16550686477336,974.66,5684,60.080928923293456,1032.3200000000002,3753,59.44577671196376,633.94,6665,61.02025506376594,1335.7,1017,61.5535889872173,214.66000000000003,1099,61.23748862602366,225.02,730,62.19178082191781,163.40000000000003,831,59.80746089049338,146.38000000000005,749,61.6822429906542,160.02,947,59.55649419218585,162.06000000000003,1026,59.746588693957115,179.48000000000008,613,60.1957585644372,112.74000000000001,1097,60.1640838650866,201.06,887,57.83540022547914,121.26000000000002,920,59.78260869565217,161.60000000000002,1206,58.12603648424543,171.88,1239,58.67635189669088,190.22000000000003,1104,61.050724637681164,221.92000000000002,843,58.95610913404508,134.14000000000004,544,58.45588235294118,81.12,776,61.21134020618557,158.48,561,61.14081996434938,113.78,772,60.362694300518136,144.56000000000003,610,60.983606557377044,121.80000000000001,1010,62.07920792079208,223.80000000000004,947,60.61246040126716,182.06,839,59.475566150178786,142.22000000000003,1052,62.547528517110266,242.96000000000004
09_Keep_Top_20_Pct,1019,65.26005888125613,290.6200000000001,937,65.10138740661687,264.26000000000005,946,65.53911205073996,275.08000000000004,620,64.51612903225806,167.60000000000002,825,66.30303030303031,252.50000000000003,1948,66.37577002053389,599.0400000000002,1077,64.62395543175488,293.46000000000004,1815,64.73829201101928,498.70000000000005,1808,65.9845132743363,541.8400000000001,1022,65.06849315068493,287.56000000000006,2727,65.93325999266594,814.46,507,66.07495069033531,152.86,433,65.1270207852194,122.34000000000002,368,67.66304347826086,122.64000000000001,241,66.39004149377593,74.18,348,65.51724137931035,101.04,346,64.45086705202311,93.08,266,64.66165413533834,72.68,253,64.42687747035573,67.94000000000001,394,65.22842639593908,112.12,123,67.47967479674797,40.54,140,67.14285714285714,45.2,235,63.829787234042556,60.3,300,65.33333333333333,86.00000000000001,405,66.17283950617285,122.9,141,63.12056737588653,34.18,53,62.264150943396224,11.940000000000001,355,65.35211267605634,101.9,228,66.66666666666666,71.44,254,64.96062992125984,70.92,317,65.29968454258676,90.66,599,65.1085141903172,169.02,356,64.8876404494382,98.88000000000002,224,63.83928571428571,57.52000000000001,486,67.6954732510288,162.28000000000003
