strategy_name,win_rate,total_pnl
09_Keep_Top_20_Pct,65.53174172544763,2142.5600000000004
10_Keep_Top_30_Pct,63.67580701145435,2921.5200000000004
08_Cut_WR_LT_54,60.282926373780285,3976.62
07_Cut_WR_LT_52,58.78772131695186,4196.18
05_Cut_Bottom_25_Pct,57.98434116275196,4192.700000000001
06_Cut_WR_LT_50,57.72790300216052,4172.780000000001
04_Cut_Bottom_20_Pct,57.437862081853865,4133.880000000001
03_Cut_Bottom_15_Pct,56.859537926804336,4012.26
02_Cut_Bottom_10_Pct,56.32848370857997,3852.9200000000005
01_Cut_Bottom_5_Pct,55.654217811439025,3564.2
00_Baseline,54.879471711228625,3125.3799999999997
