strategy_name,year_2023_trades,year_2023_win_rate,year_2023_pnl,year_2024_trades,year_2024_win_rate,year_2024_pnl,year_2025_trades,year_2025_win_rate,year_2025_pnl,year_2026_trades,year_2026_win_rate,year_2026_pnl,consistency_score,best_month_name,best_month_pnl,worst_month_name,worst_month_pnl,positive_months_count,negative_months_count,monthly_win_rate_avg,quarterly_win_rate_q1,quarterly_win_rate_q2,quarterly_win_rate_q3,quarterly_win_rate_q4,busiest_day_trades,quietest_day_trades,zero_days_count,first_50_pct_wr,last_50_pct_wr
00_Baseline,11004.0,56.19774627408215,1143.9199999999998,13079.0,54.690725590641485,965.4199999999997,14187.0,53.964897441319515,841.2599999999998,2011.0,55.34559920437593,174.77999999999997,0.8232900153316716,2023-09,188.48,2024-12,12.93999999999998,37,0,100.0,55.05337723236556,54.97005988023952,52.364429463666106,57.11752536695892,80,5,0,55.69016881827209,54.06881485527034
01_Cut_Bottom_5_Pct,10471.0,56.91910992264349,1239.58,12402.0,55.668440574100956,1157.9599999999998,13510.0,54.64100666173205,983.7999999999997,1907.0,55.79444153120083,182.85999999999996,0.8070283437189341,2023-09,196.26,2024-12,36.219999999999985,37,0,100.0,55.878941263313294,55.703223105902055,53.40409563632464,57.50705360741637,74,5,0,56.552624706189604,54.75581091668843
02_Cut_Bottom_10_Pct,9897.0,57.542689703950685,1295.0599999999997,11718.0,56.34920634920635,1253.6399999999999,12723.0,55.39573999842804,1118.5399999999997,1816.0,56.11233480176211,185.67999999999998,0.7729175662114208,2023-09,200.2,2024-12,44.399999999999984,37,0,100.0,56.30749014454665,56.40031031807603,54.458636743464254,57.90895863645812,70,4,0,57.23294794490236,55.42401947225757
03_Cut_Bottom_15_Pct,9360.0,58.02350427350428,1314.7999999999997,11100.0,56.97297297297297,1325.9999999999998,12057.0,55.901136269387074,1181.8599999999997,1720.0,56.51162790697675,189.59999999999997,0.7757337387354957,2023-09,194.83999999999997,2026-02,52.59999999999999,37,0,100.0,56.59718309859155,57.100380589914366,55.27744669580188,58.162288631287886,66,3,0,57.74623203645286,55.97289561306151
04_Cut_Bottom_20_Pct,8781.0,58.87712105682724,1383.3799999999999,10415.0,57.44599135861738,1342.6999999999998,11305.0,56.28482972136223,1194.8999999999999,1605.0,57.63239875389408,212.89999999999998,0.919117326390183,2023-09,191.67999999999998,2025-07,60.79999999999998,37,0,100.0,57.06806282722513,57.901554404145074,55.887421022400915,58.58283433133733,63,3,0,58.406528374758615,56.46919578894911
05_Cut_Bottom_25_Pct,8191.0,59.296789158832865,1359.1799999999998,9773.0,58.03745011767113,1375.5399999999997,10543.0,56.89082803756047,1242.1399999999999,1508.0,58.15649867374005,215.83999999999997,0.8516778675300425,2023-09,173.66,2025-07,72.23999999999998,37,0,100.0,57.70521424883841,58.296024962691625,56.35239567233384,59.22145739378115,58,3,0,58.925834610515096,57.042910447761194
06_Cut_WR_LT_50,8476.0,59.0726757904672,1368.4799999999998,10066.0,57.68925094377111,1346.6799999999998,10915.0,56.69262482821805,1242.6999999999998,1554.0,57.91505791505791,214.91999999999996,0.846211449975391,2023-09,180.28,2026-02,70.07999999999998,37,0,100.0,57.475582268970705,58.130567743651106,55.998248686514884,58.98058252427184,61,3,0,58.61335053208643,56.842512575777114
07_Cut_WR_LT_52,7329.0,60.29471960704053,1362.4199999999998,8808.0,58.798819255222526,1373.84,9457.0,57.55525007930633,1239.86,1347.0,59.16852264291017,220.05999999999997,0.9777692727774326,2023-09,169.92,2025-07,63.95999999999999,37,0,100.0,58.50310648750181,58.79629629629629,57.52445447705041,59.894763860369615,50,3,0,59.79213066072754,57.783386534036076
08_Cut_WR_LT_54,5814.0,62.02270381836945,1281.7199999999998,7023.0,60.41577673358963,1322.54,7494.0,58.70029356818789,1154.12,1088.0,61.029411764705884,218.23999999999998,1.2080841145622563,2023-09,153.26,2025-05,64.29999999999998,37,0,100.0,60.16550686477336,60.080928923293456,59.44577671196376,61.02025506376594,47,2,0,61.40629377159399,59.15966386554622
09_Keep_Top_20_Pct,1964.0,65.68228105906314,576.7199999999999,2419.0,66.01901612236462,726.62,2606.0,64.27475057559478,691.88,383.0,70.23498694516971,147.34,2.224339133705427,2025-01,87.39999999999999,2025-05,29.479999999999997,37,0,100.0,64.73829201101928,65.9845132743363,65.06849315068493,65.93325999266594,23,0,10,65.87086272381985,65.19262072707542
10_Keep_Top_30_Pct,3091.0,65.2539631187318,881.18,3843.0,63.54410616705699,964.14,4008.0,62.07584830339321,887.8399999999999,582.0,67.18213058419244,188.35999999999999,1.9073374094305957,2026-01,108.5,2025-05,47.11999999999999,37,0,100.0,63.1578947368421,63.88409796481545,63.10850439882698,64.13231300913354,34,0,2,64.49149600833044,62.86011801457827
