strategy_name,total_trades,trades_removed_count,trades_removed_pct,win_count,loss_count,win_rate,loss_rate,total_pnl,total_profit,total_loss,avg_pnl_per_trade,avg_win,avg_loss,largest_win,largest_loss,pnl_improvement_vs_baseline,win_rate_improvement_vs_baseline,trades_per_day,trades_per_hour,profit_factor,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown_dollars,max_drawdown_pct,longest_drawdown_duration_days,max_consecutive_wins,max_consecutive_losses,avg_win_loss_ratio,kelly_criterion,recovery_factor,downside_deviation,upside_deviation,var_95,cvar_95,year_2023_trades,year_2023_win_rate,year_2023_pnl,year_2024_trades,year_2024_win_rate,year_2024_pnl,year_2025_trades,year_2025_win_rate,year_2025_pnl,year_2026_trades,year_2026_win_rate,year_2026_pnl,consistency_score,best_month_name,best_month_pnl,worst_month_name,worst_month_pnl,positive_months_count,negative_months_count,monthly_win_rate_avg,quarterly_win_rate_q1,quarterly_win_rate_q2,quarterly_win_rate_q3,quarterly_win_rate_q4,efficiency_score,pnl_efficiency,roi_vs_baseline_pct,roi_annual_pct,cagr,profit_per_hour_removed,profit_per_trade_removed,incremental_sharpe,max_drawdown_duration_days,max_drawdown_depth_dollars,max_drawdown_depth_pct,mc_mean_final_pnl,mc_median_final_pnl,mc_std_final_pnl,mc_5th_percentile_pnl,mc_95th_percentile_pnl,mc_probability_profitable,mc_mean_max_drawdown,mc_worst_max_drawdown,mc_best_max_drawdown,mc_mean_sharpe,mc_median_sharpe,mc_confidence_95_lower_bound_pnl,mc_confidence_95_upper_bound_pnl,mc_risk_of_ruin_pct
00_Baseline,40281,0,0.0,22106,18175,54.879471711228625,45.12052828877138,3125.3799999999997,21663.88000000001,18538.499999999996,0.07758943422457237,0.9800000000000004,1.0199999999999998,0.98,-1.02,0.0,0.0,36.06177260519248,1.5025738585496866,1.168588612886696,1.4894350916071362,6675700495735465.0,91.49238875880694,34.15999999999076,12.155782848151238,18,18,11,0.9607843137254908,0.07917289206589051,91.49238875880694,2.220507136944432e-16,4.440992547310277e-16,-1.02,-1.0199999999999998,11004.0,56.19774627408215,1143.9199999999998,13079.0,54.690725590641485,965.4199999999997,14187.0,53.964897441319515,841.2599999999998,2011.0,55.34559920437593,174.77999999999997,0.8232900153316716,2023-09,188.48,2024-12,12.93999999999998,37,0,100.0,55.05337723236556,54.97005988023952,52.364429463666106,57.11752536695892,0.0,0.0,0.0,211.14021988921138,2.111402198892114,0.0,0.0,0.0,18,34.15999999999076,12.155782848151238,3127.942,3119.38,205.07097346040956,2789.38,3463.58,100.0,42.60835999999338,89.87999999996737,25.899999999997362,1.4907530836865552,1.4865723766136396,2731.33,3521.38,0.0
01_Cut_Bottom_5_Pct,38290,1991,4.942776991633773,21310,16980,55.654217811439025,44.34578218856098,3564.2,20883.800000000003,17319.6,0.09308435622878035,0.9800000000000001,1.02,0.98,-1.02,438.82000000000016,0.7747461002104004,34.27931960608773,1.428304983586989,1.2057899720547822,1.7898319792050177,,137.40169622206506,25.939999999997326,9.950891703282648,15,18,10,0.9607843137254902,0.09498403696814334,137.40169622206506,0.0,1.1102490748856017e-16,-1.02,-1.02,10471.0,56.91910992264349,1239.58,12402.0,55.668440574100956,1157.9599999999998,13510.0,54.64100666173205,983.7999999999997,1907.0,55.79444153120083,182.85999999999996,0.8070283437189341,2023-09,196.26,2024-12,36.219999999999985,37,0,100.0,55.878941263313294,55.703223105902055,53.40409563632464,57.50705360741637,0.15674308218269783,88.78005233550982,14.040532671227183,224.38334446866486,2.2438334446866484,0.22040180813661484,0.22040180813661484,0.06077492229698778,15,25.939999999997326,9.950891703282648,3570.331999999999,3570.2,191.04533120702004,3262.2000000000003,3880.2,100.0,37.24741999999525,93.49999999998681,23.479999999996835,1.7930460550904737,1.7929006118085322,3220.15,3944.3499999999995,0.0
02_Cut_Bottom_10_Pct,36154,4127,10.245525185571362,20365,15789,56.32848370857997,43.67151629142004,3852.9200000000005,19957.700000000004,16104.779999999997,0.10656967417159928,0.9800000000000002,1.0199999999999998,0.98,-1.02,727.5400000000009,1.4490119973513416,32.36705461056401,1.3486272754401671,1.239240771994402,2.0524893029804185,9169086951363240.0,137.01706970128964,28.119999999998072,9.444708115804666,15,20,10,0.9607843137254906,0.10874456548122402,137.01706970128964,2.220516368824991e-16,2.220500567488146e-16,-1.02,-1.0199999999999998,9897.0,57.542689703950685,1295.0599999999997,11718.0,56.34920634920635,1253.6399999999999,12723.0,55.39573999842804,1118.5399999999997,1816.0,56.11233480176211,185.67999999999998,0.7729175662114208,2023-09,200.2,2024-12,44.399999999999984,37,0,100.0,56.30749014454665,56.40031031807603,54.458636743464254,57.90895863645812,0.14142876730145235,71.01051306033446,23.27844934056023,232.52317232746822,2.3252317232746824,0.17628786043130623,0.17628786043130623,0.054956110221291946,15,28.119999999998072,9.444708115804666,3854.231999999999,3853.92,187.96007729302522,3548.52,4158.92,100.0,33.09337999999628,61.459999999992306,22.059999999997217,2.0533227864761594,2.053057714385929,3496.82,4202.92,0.0
03_Cut_Bottom_15_Pct,34237,6044,15.004592736029393,19467,14770,56.859537926804336,43.14046207319567,4012.26,19077.660000000003,15065.399999999998,0.1171907585360867,0.9800000000000002,1.0199999999999998,0.98,-1.02,886.8800000000006,1.980066215575711,30.65085049239033,1.2771187705162639,1.2663228324505162,2.2602652080467984,1.0082886294727722e+16,149.37676842889996,26.85999999999831,9.729986915665767,14,19,10,0.9607843137254906,0.11958240666947645,149.37676842889996,2.220521220503081e-16,2.2205030824757574e-16,-1.02,-1.0199999999999998,9360.0,58.02350427350428,1314.7999999999997,11100.0,56.97297297297297,1325.9999999999998,12057.0,55.901136269387074,1181.8599999999997,1720.0,56.51162790697675,189.59999999999997,0.7757337387354957,2023-09,194.83999999999997,2026-02,52.59999999999999,37,0,100.0,56.59718309859155,57.100380589914366,55.27744669580188,58.162288631287886,0.13196400931436997,59.10723573792195,28.37670939213794,236.8449852902334,2.368449852902334,0.14673726009265398,0.14673726009265398,0.05137294493763408,14,26.85999999999831,9.729986915665767,4006.706000000002,4000.26,181.56913031680247,3712.26,4304.360000000001,100.0,30.666039999997547,57.119999999993524,20.339999999996962,2.25722825344767,2.253427752127867,3648.11,4374.360000000001,0.0
04_Cut_Bottom_20_Pct,32106,8175,20.29492812988754,18441,13665,57.437862081853865,42.56213791814614,4133.880000000001,18072.180000000008,13938.299999999996,0.12875724163707722,0.9800000000000004,1.0199999999999996,0.98,-1.02,1008.5000000000014,2.55839037062524,28.74306177260519,1.1976275738585498,1.2965842319364638,2.4875423694524477,5539007892663781.0,182.10925110133402,22.699999999998454,8.285399583894353,10,27,11,0.960784313725491,0.13138494044599758,182.10925110133402,4.441054598897647e-16,4.441012511512904e-16,-1.02,-1.0199999999999996,8781.0,58.87712105682724,1383.3799999999999,10415.0,57.44599135861738,1342.6999999999998,11305.0,56.28482972136223,1194.8999999999999,1605.0,57.63239875389408,212.89999999999998,0.919117326390183,2023-09,191.67999999999998,2025-07,60.79999999999998,37,0,100.0,57.06806282722513,57.901554404145074,55.887421022400915,58.58283433133733,0.1260605780050829,49.69221834862392,32.268076201933894,240.06842538176323,2.4006842538176323,0.12336391437308886,0.12336391437308886,0.04918013365001467,10,22.699999999998454,8.285399583894353,4132.764000000002,4139.880000000001,176.63898364743838,3835.580000000001,4427.980000000001,100.0,28.26503999999925,49.17999999999438,17.65999999999576,2.4870263031902797,2.4912625067771965,3773.730000000001,4469.980000000001,0.0
05_Cut_Bottom_25_Pct,30015,10266,25.48596112311015,17404,12611,57.98434116275196,42.01565883724804,4192.700000000001,17055.920000000006,12863.219999999998,0.13968682325503917,0.9800000000000003,1.0199999999999998,0.98,-1.02,1067.320000000001,3.104869451523335,26.87108325872874,1.1196284691136975,1.3259448256346396,2.7033587962909396,1.201833839192312e+16,190.40417802002133,22.019999999995434,11.215743088253236,10,25,11,0.9607843137254907,0.14253757475004025,190.40417802002133,2.220534090567897e-16,3.330764764883602e-16,-1.02,-1.0199999999999998,8191.0,59.296789158832865,1359.1799999999998,9773.0,58.03745011767113,1375.5399999999997,10543.0,56.89082803756047,1242.1399999999999,1508.0,58.15649867374005,215.83999999999997,0.8516778675300425,2023-09,173.66,2025-07,72.23999999999998,37,0,100.0,57.70521424883841,58.296024962691625,56.35239567233384,59.22145739378115,0.12182665729282238,41.8787423728814,34.15008734937834,241.6050663223487,2.416050663223487,0.10396649133060598,0.10396649133060598,0.04763107417530517,10,22.019999999995434,11.215743088253236,4184.413999999999,4192.700000000001,174.2106374593699,3888.4000000000005,4462.800000000001,100.0,26.261139999999433,51.039999999995416,17.739999999997508,2.6980960539867436,2.7034038308794512,3840.4500000000007,4518.700000000001,0.0
06_Cut_WR_LT_50,31011,9270,23.01333134728532,17902,13109,57.72790300216052,42.272096997839476,4172.780000000001,17543.960000000006,13371.179999999995,0.1345580600432105,0.9800000000000003,1.0199999999999996,0.98,-1.02,1047.400000000001,2.8484312909318916,27.762757385854968,1.156781557743957,1.3120726816930153,2.601952501161883,5788544320884931.0,192.82717190389502,21.63999999999851,10.111692015209318,10,26,11,0.9607843137254909,0.13730414290123538,192.82717190389502,4.441061491520294e-16,3.3307621028280434e-16,-1.02,-1.0199999999999996,8476.0,59.0726757904672,1368.4799999999998,10066.0,57.68925094377111,1346.6799999999998,10915.0,56.69262482821805,1242.6999999999998,1554.0,57.91505791505791,214.91999999999996,0.846211449975391,2023-09,180.28,2026-02,70.07999999999998,37,0,100.0,57.475582268970705,58.130567743651106,55.998248686514884,58.98058252427184,0.12377309690402107,45.51275016181234,33.51272485265795,241.08626340840004,2.4108626340840003,0.1129881337648329,0.1129881337648329,0.04834230180612164,10,21.63999999999851,10.111692015209318,4167.564,4170.780000000001,172.96536457915494,3880.780000000001,4450.780000000001,100.0,26.782899999999508,50.139999999995325,16.979999999999606,2.598812120360151,2.6007207741041958,3816.7300000000005,4496.830000000001,0.0
07_Cut_WR_LT_52,26941,13340,33.117350611951046,15838,11103,58.78772131695186,41.21227868304814,4196.18,15521.240000000005,11325.059999999998,0.15575442633903716,0.9800000000000003,1.0199999999999998,0.98,-1.02,1070.8000000000006,3.9082496057232348,24.119068934646375,1.0049612056102657,1.3705216572804038,3.02267981988377,1.3400686458479906e+16,214.5286298568663,19.55999999999858,10.644418872267076,11,23,11,0.9607843137254907,0.15893308810105855,214.5286298568663,2.220546049072438e-16,3.330774226887347e-16,-1.02,-1.0199999999999998,7329.0,60.29471960704053,1362.4199999999998,8808.0,58.798819255222526,1373.84,9457.0,57.55525007930633,1239.86,1347.0,59.16852264291017,220.05999999999997,0.9777692727774326,2023-09,169.92,2025-07,63.95999999999999,37,0,100.0,58.50310648750181,58.79629629629629,57.52445447705041,59.894763860369615,0.11801214570325158,32.33350434782611,34.261433809648764,241.69553416289193,2.416955341628919,0.08026986506746632,0.08026986506746632,0.04629732451252704,11,19.55999999999858,10.644418872267076,4191.740000000001,4193.18,160.74125295019928,3924.180000000001,4448.280000000001,100.0,23.697839999999488,42.85999999999103,15.619999999999436,3.0196328606067078,3.020513885280599,3878.0300000000007,4494.2300000000005,0.0
08_Cut_WR_LT_54,21419,18862,46.8260470196867,12912,8507,60.282926373780285,39.717073626219715,3976.62,12653.760000000006,8677.14,0.18565852747560577,0.9800000000000004,1.02,0.98,-1.02,851.2400000000002,5.40345466255166,19.17547000895255,0.7989779170396897,1.4582869470816429,3.624394106915295,,185.82336448599236,21.399999999998727,9.171244327681038,8,17,8,0.9607843137254906,0.1894474770159244,185.82336448599236,0.0,4.441064076120925e-16,-1.02,-1.02,5814.0,62.02270381836945,1281.7199999999998,7023.0,60.41577673358963,1322.54,7494.0,58.70029356818789,1154.12,1088.0,61.029411764705884,218.23999999999998,1.2080841145622563,2023-09,153.26,2025-05,64.29999999999998,37,0,100.0,60.16550686477336,60.080928923293456,59.44577671196376,61.02025506376594,0.11539420913065604,18.178771307390527,27.2363680576442,235.88823587870678,2.358882358787068,0.04512989078570673,0.04512989078570673,0.04559340690044955,8,21.399999999998727,9.171244327681038,3984.614000000001,3986.62,142.9743891891132,3746.52,4214.62,100.0,19.972559999998886,36.07999999999811,13.699999999999363,3.632339038786881,3.63395795037285,3708.52,4248.77,0.0
09_Keep_Top_20_Pct,7372,32909,81.69856756287082,4831,2541,65.53174172544763,34.46825827455236,2142.5600000000004,4734.380000000001,2591.8199999999997,0.29063483450895283,0.9800000000000002,1.0199999999999998,0.98,-1.02,-982.8199999999993,10.652270014219006,6.599820948970456,0.2749925395404357,1.8266623453789235,5.841160239419168,2.500163431424901e+16,160.13153961136442,13.379999999999654,8.921057061100818,9,24,7,0.9607843137254906,0.29656615766219674,160.13153961136442,2.220883101916538e-16,2.220675897193504e-16,-1.02,-1.0199999999999998,1964.0,65.68228105906314,576.7199999999999,2419.0,66.01901612236462,726.62,2606.0,64.27475057559478,691.88,383.0,70.23498694516971,147.34,2.224339133705427,2025-01,87.39999999999999,2025-05,29.479999999999997,37,0,100.0,64.73829201101928,65.9845132743363,65.06849315068493,65.93325999266594,0.13038502793848364,-12.02983148074994,-31.446416115800304,176.29950882934918,1.7629950882934917,-0.02986477863198515,-0.02986477863198515,0.053265623592031505,9,13.379999999999654,8.921057061100818,2142.1220000000008,2140.5600000000004,79.94165469891153,2014.4600000000005,2280.6600000000003,100.0,11.951119999999483,24.299999999998818,7.699999999999363,5.841559869752027,5.835559529342523,1986.5100000000002,2296.6100000000006,0.0
