strategy_name,total_trades,trades_removed_count,trades_removed_pct,win_count,loss_count,win_rate,loss_rate,total_pnl,total_profit,total_loss,avg_pnl_per_trade,avg_win,avg_loss,largest_win,largest_loss,pnl_improvement_vs_baseline,win_rate_improvement_vs_baseline,trades_per_day,trades_per_hour,direction_yes_trades,direction_yes_pct,direction_no_trades,direction_no_pct,total_fees
00_Baseline,40281,0,0.0,22106,18175,54.879471711228625,45.12052828877138,3125.3799999999997,21663.88000000001,18538.499999999996,0.07758943422457237,0.9800000000000004,1.0199999999999998,0.98,-1.02,0.0,0.0,36.06177260519248,1.5025738585496866,18489,45.90005213376033,21792,54.09994786623966,805.6200000000001
01_Cut_Bottom_5_Pct,38290,1991,4.942776991633773,21310,16980,55.654217811439025,44.34578218856098,3564.2,20883.800000000003,17319.6,0.09308435622878035,0.9800000000000001,1.02,0.98,-1.02,438.82000000000016,0.7747461002104004,34.27931960608773,1.428304983586989,17586,45.928440846173935,20704,54.071559153826065,765.8
02_Cut_Bottom_10_Pct,36154,4127,10.245525185571362,20365,15789,56.32848370857997,43.67151629142004,3852.9200000000005,19957.700000000004,16104.779999999997,0.10656967417159928,0.9800000000000002,1.0199999999999998,0.98,-1.02,727.5400000000009,1.4490119973513416,32.36705461056401,1.3486272754401671,16587,45.87874094152791,19567,54.12125905847209,723.0799999999999
03_Cut_Bottom_15_Pct,34237,6044,15.004592736029393,19467,14770,56.859537926804336,43.14046207319567,4012.26,19077.660000000003,15065.399999999998,0.1171907585360867,0.9800000000000002,1.0199999999999998,0.98,-1.02,886.8800000000006,1.980066215575711,30.65085049239033,1.2771187705162639,15727,45.93568361713935,18510,54.064316382860646,684.74
04_Cut_Bottom_20_Pct,32106,8175,20.29492812988754,18441,13665,57.437862081853865,42.56213791814614,4133.880000000001,18072.180000000008,13938.299999999996,0.12875724163707722,0.9800000000000004,1.0199999999999996,0.98,-1.02,1008.5000000000014,2.55839037062524,28.74306177260519,1.1976275738585498,14730,45.8792749018875,17376,54.1207250981125,642.1199999999999
05_Cut_Bottom_25_Pct,30015,10266,25.48596112311015,17404,12611,57.98434116275196,42.01565883724804,4192.700000000001,17055.920000000006,12863.219999999998,0.13968682325503917,0.9800000000000003,1.0199999999999998,0.98,-1.02,1067.320000000001,3.104869451523335,26.87108325872874,1.1196284691136975,13750,45.810428119273695,16265,54.189571880726305,600.3
06_Cut_WR_LT_50,31011,9270,23.01333134728532,17902,13109,57.72790300216052,42.272096997839476,4172.780000000001,17543.960000000006,13371.179999999995,0.1345580600432105,0.9800000000000003,1.0199999999999996,0.98,-1.02,1047.400000000001,2.8484312909318916,27.762757385854968,1.156781557743957,14205,45.806326787269036,16806,54.193673212730964,620.22
07_Cut_WR_LT_52,26941,13340,33.117350611951046,15838,11103,58.78772131695186,41.21227868304814,4196.18,15521.240000000005,11325.059999999998,0.15575442633903716,0.9800000000000003,1.0199999999999998,0.98,-1.02,1070.8000000000006,3.9082496057232348,24.119068934646375,1.0049612056102657,12321,45.73326899521176,14620,54.26673100478824,538.8199999999999
08_Cut_WR_LT_54,21419,18862,46.8260470196867,12912,8507,60.282926373780285,39.717073626219715,3976.62,12653.760000000006,8677.14,0.18565852747560577,0.9800000000000004,1.02,0.98,-1.02,851.2400000000002,5.40345466255166,19.17547000895255,0.7989779170396897,9716,45.361594845697745,11703,54.63840515430225,428.38
09_Keep_Top_20_Pct,7372,32909,81.69856756287082,4831,2541,65.53174172544763,34.46825827455236,2142.5600000000004,4734.380000000001,2591.8199999999997,0.29063483450895283,0.9800000000000002,1.0199999999999998,0.98,-1.02,-982.8199999999993,10.652270014219006,6.599820948970456,0.2749925395404357,3334,45.225176342919156,4038,54.77482365708085,147.44
10_Keep_Top_30_Pct,11524,28757,71.39097837690225,7338,4186,63.67580701145435,36.32419298854565,2921.5200000000004,7191.2400000000025,4269.719999999999,0.25351614022908714,0.9800000000000003,1.0199999999999998,0.98,-1.02,-203.85999999999922,8.796335300225728,10.316920322291853,0.42987168009549387,5228,45.36619229434224,6296,54.63380770565776,230.47999999999996
