strategy_name,efficiency_score,pnl_efficiency,roi_vs_baseline_pct,roi_annual_pct,cagr,profit_per_hour_removed,profit_per_trade_removed,incremental_sharpe,mar_ratio,drawdown_improvement_vs_baseline
00_Baseline,0.0,0.0,0.0,211.14021988921138,2.111402198892114,0.0,0.0,0.0,6.180919785985612,0.0
01_Cut_Bottom_5_Pct,0.15674308218269783,88.78005233550982,14.040532671227183,224.38334446866486,2.2438334446866484,0.22040180813661484,0.22040180813661484,0.06077492229698778,8.650090380442867,8.219999999993433
02_Cut_Bottom_10_Pct,0.14142876730145235,71.01051306033446,23.27844934056023,232.52317232746822,2.3252317232746824,0.17628786043130623,0.17628786043130623,0.054956110221291946,8.268960609085497,6.039999999992684
03_Cut_Bottom_15_Pct,0.13196400931436997,59.10723573792195,28.37670939213794,236.8449852902334,2.368449852902334,0.14673726009265398,0.14673726009265398,0.05137294493763408,8.817758201423988,7.299999999992451
04_Cut_Bottom_20_Pct,0.1260605780050829,49.69221834862392,32.268076201933894,240.06842538176323,2.4006842538176323,0.12336391437308886,0.12336391437308886,0.04918013365001467,10.575701558668703,11.459999999992306
05_Cut_Bottom_25_Pct,0.12182665729282238,41.8787423728814,34.15008734937834,241.6050663223487,2.416050663223487,0.10396649133060598,0.10396649133060598,0.04763107417530517,10.972073856603034,12.139999999995325
06_Cut_WR_LT_50,0.12377309690402107,45.51275016181234,33.51272485265795,241.08626340840004,2.4108626340840003,0.1129881337648329,0.1129881337648329,0.04834230180612164,11.140770028115371,12.519999999992251
07_Cut_WR_LT_52,0.11801214570325158,32.33350434782611,34.261433809648764,241.69553416289193,2.416955341628919,0.08026986506746632,0.08026986506746632,0.04629732451252704,12.35662240096674,14.599999999992178
08_Cut_WR_LT_54,0.11539420913065604,18.178771307390527,27.2363680576442,235.88823587870678,2.358882358787068,0.04512989078570673,0.04512989078570673,0.04559340690044955,11.02281476068789,12.759999999992033
09_Keep_Top_20_Pct,0.13038502793848364,-12.02983148074994,-31.446416115800304,176.29950882934918,1.7629950882934917,-0.02986477863198515,-0.02986477863198515,0.053265623592031505,13.17634595137173,20.779999999991105
10_Keep_Top_30_Pct,0.12321354182577897,-2.8555428799944256,-6.522726836416666,204.57237388184257,2.0457237388184257,-0.007089056577528922,-0.007089056577528922,0.0496670539773402,12.50442383140872,17.799999999991087
