strategy_name,max_drawdown_pct,total_pnl
04_Cut_Bottom_20_Pct,8.285399583894353,4133.880000000001
10_Keep_Top_30_Pct,8.429174552336614,2921.5200000000004
09_Keep_Top_20_Pct,8.921057061100818,2142.5600000000004
08_Cut_WR_LT_54,9.171244327681038,3976.62
02_Cut_Bottom_10_Pct,9.444708115804666,3852.9200000000005
03_Cut_Bottom_15_Pct,9.729986915665767,4012.26
01_Cut_Bottom_5_Pct,9.950891703282648,3564.2
06_Cut_WR_LT_50,10.111692015209318,4172.780000000001
07_Cut_WR_LT_52,10.644418872267076,4196.18
05_Cut_Bottom_25_Pct,11.215743088253236,4192.700000000001
00_Baseline,12.155782848151238,3125.3799999999997
